file,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS,AMERICAN ECONOMIC REVIEW,ECONOMETRICA,ECONOMIC JOURNAL,INTERNATIONAL ECONOMIC REVIEW,JOURNAL OF DEVELOPMENT ECONOMICS,JOURNAL OF ECONOMETRICS,JOURNAL OF ECONOMIC THEORY,JOURNAL OF INTERNATIONAL ECONOMICS,JOURNAL OF LABOR ECONOMICS,JOURNAL OF MONETARY ECONOMICS,JOURNAL OF POLITICAL ECONOMY,JOURNAL OF PUBLIC ECONOMICS,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,QUANTITATIVE ECONOMICS,QUARTERLY JOURNAL OF ECONOMICS,RAND JOURNAL OF ECONOMICS,REVIEW OF ECONOMIC STUDIES,REVIEW OF ECONOMICS AND STATISTICS,THEORETICAL ECONOMICS,name,promotion_university,promotion_year,years_post_phd,unresolved_count,unresolved_fields,unresolved_details,needs_review
Colorado Boulder/full/Antman_CV.docx,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,Francisca M. Antman,University of Colorado Boulder,2016,9,0,,{},0
Colorado Boulder/full/CV Carol H Shiue long Sept_2025.docx,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Carol H. Shiue,University of Colorado,2005,6,0,,{},0
Colorado Boulder/full/WK CV April 2025.docx,1,0,0,0,3,0,0,0,2,1,0,4,0,1,1,0,0,0,0,0,1,2,0,Wolfgang Keller,University of Texas-Austin,2003,8,0,,{},0
Colorado Boulder/full/Xiaodong_Liu_CV.docx,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,2,0,Xiaodong Liu,University of Colorado Boulder,2015,8,0,,{},0
Colorado Boulder/full/carlos_cv.docx,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Carlos Brunet Martins-Filho,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""all_missing"", ""years_post_phd"": ""all_missing""}",1
Colorado Boulder/full/chen_cv_2021_0.docx,0,0,0,1,0,0,3,4,1,0,0,2,0,0,0,1,1,0,0,10,0,1,0,Yongmin Chen,University of Colorado Boulder,2001,9,0,,{},0
Colorado Boulder/full/cv_kaffine.docx,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Daniel Thomas Kaffine,Colorado School of Mines,2013,6,0,,{},0
Colorado Boulder/full/cv_savage.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Scott J. Savage,"University of Colorado, Boulder",2009,9,0,,{},0
Colorado Boulder/full/iyiguncv.docx,0,0,0,0,,0,2,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,Murat Iyigun,University of Colorado,2005,10,1,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""tie""}",1
Colorado Boulder/full/miles kimball CV 2021 03 06.docx,0,0,0,0,,3,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,Miles Kimball,University of Michigan,1993,6,1,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""tie""}",1
Colorado Boulder/full/zax_cv.docx,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,Jeffrey S. Zax,City University of New York,1989,5,0,,{},0
Emory/associate/CV Sep 2024.docx,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Sue H. Mialon,Emory University,2015,,1,years_post_phd,"{""years_post_phd"": ""all_missing""}",1
Emory/associate/CV.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Maria Arbatskaya,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""all_missing"", ""years_post_phd"": ""all_missing""}",1
Emory/associate/CV_Fang.docx,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Zheng Fang,Emory University,2023,8,0,,{},0
Emory/associate/CV_Florian_Gunsilius.docx,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Florian Gunsilius,Emory University,2024,5,0,,{},0
Emory/associate/CV_Karbownik_August_2025.docx,1,1,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Krzysztof Karbownik,Emory University,2024,11,0,,{},0
Emory/associate/LindCV.docx,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nelson Lind,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""all_missing"", ""promotion_year"": ""all_missing"", ""years_post_phd"": ""all_missing""}",1
Emory/associate/MatthewGrennan_CV_Aug 2025.docx,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Matthew Grennan,"University of California, Berkeley",2021,11,0,,{},0
Emory/associate/OConnell_CV.docx,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Stephen D. O’Connell,Emory University,2022,6,0,,{},0
Emory/associate/cv-2.docx,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Pedro H. C. Sant’Anna,Emory University,2023,8,0,,{},0
Emory/associate/mccarthy_cv.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ian McCarthy,Emory University,2020,12,0,,{},0
Emory/full/CV_KaijiChen.docx,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Kaiji Chen,Emory University,2016,11,0,,{},0
Emory/full/CV_Maasoumi August 2024.docx,0,0,0,0,1,2,0,0,0,,0,0,0,0,2,0,0,0,0,0,2,1,0,Esfandiar Maasoumi,Indiana University Bloomington,1982,5,1,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""tie""}",1
Emory/full/CV_Sep2024.docx,0,0,0,1,0,2,0,2,0,0,1,0,0,0,1,0,0,0,0,2,1,0,1,Kyungmin (Teddy) Kim,University of Miami,2016,7,0,,{},0
Emory/full/CV_YUE2024.docx,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,Vivian Zhanwei Yue,Emory University,2020,15,0,,{},0
Emory/full/ResumeSept23.docx,0,0,0,0,0,2,0,0,0,,0,0,0,0,0,0,0,1,0,0,1,1,0,Stefan Hoderlein,Brown University,2008,6,1,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""insufficient_support""}",1
Emory/full/Rubio-Ramirez-CV.docx,0,0,1,0,4,2,0,0,0,4,0,1,0,5,0,0,0,2,0,0,3,0,0,Juan F. Rubio-Ramírez,Duke University,2006,5,0,,{},0
Emory/full/alexisakira_toda_CV.docx,0,0,0,0,0,1,0,0,0,1,5,0,0,1,2,0,0,2,0,0,0,0,1,Alexis Akira Toda,University of California San Diego,2019,6,0,,{},0
Emory/full/cv.docx,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Elena Pesavento,Emory University,2007,7,0,,{},0
Emory/full/engCV2.docx,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,,Emory University,2013,7,1,name,"{""name"": ""insufficient_support""}",1
Emory/full/google_vitae.docx,0,0,0,0,1,1,0,1,0,0,6,0,0,0,0,0,0,0,1,1,5,0,1,In-Koo Cho,University of Chicago,1992,6,0,,{},0
Emory/full/vita.docx,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,Hugo M. Mialon,Emory University,2010,6,0,,{},0
Emory/full/vitae_zha.docx,0,0,0,0,4,2,1,3,0,5,2,0,0,4,1,0,0,2,0,0,1,1,0,Tao Zha,Emory University,2009,17,0,,{},0
Emory/full/web_cv_markowitz_7_25.docx,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sara J. Markowitz,Rutgers University,2005,7,0,,{},0
Florida/full/CV-Chatterjee.docx,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Santanu Chatterjee,University of Georgia,2007,6,0,,{},0
Florida/full/Dinopoulos-CV-2025-3.docx,0,0,0,0,4,0,0,0,2,0,0,10,1,1,0,0,0,0,0,0,0,1,0,Elias Dinopoulos,University of Florida,1988,3,0,,{},0
Florida/full/Roger_CV_March_2024.docx,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,Roger D. Blair,University of Florida,1974,6,0,,{},0
Florida/full/RomanoVitaeFeb2025.docx,0,0,0,1,2,1,1,3,0,0,1,0,0,0,1,11,0,0,2,3,1,0,0,Richard E. Romano,University of Florida,1989,7,0,,{},0
Florida/full/Rush-CV-2024.docx,0,0,0,0,0,0,1,0,0,0,0,0,1,6,1,0,0,0,0,0,0,1,0,Mark Rush,University of Florida,1986,4,0,,{},0
Florida/full/SLUTSKY-CV-2021.docx,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,5,0,0,1,0,1,0,0,Steven M. Slutsky,Tulane University,1980,5,0,,{},0
Florida/full/vitjan-26-Terza.docx,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,Joseph V. Terza,University of Georgia,1986,5,0,,{},0
GWU/associate/bdwilliams_cv_112224.docx,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Benjamin D. Williams,George Washington University,2020,8,0,,{},0
GWU/associate/gwuresume_ChaoWei_Apr2024.docx,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chao Wei,George Washington University,2010,9,0,,{},0
GWU/associate/kukacv.docx,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Elira Kuka,George Washington University,2023,8,0,,{},0
GWU/full/Academic CV - Vonortas.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nicholas S. Vonortas,George Washington University,1996,7,0,,{},0
GWU/full/Academic_CV_ Pelzman_September _2019 - Joseph Pelzman.docx,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Joseph Pelzman,George Washington University,1980,4,0,,{},0
GWU/full/CV Remi Jedwab 11132025 web.docx,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Remi C. Jedwab,George Washington University,2016,4,0,,{},0
GWU/full/CarrilloCurrentCV.docx,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,Paul E. Carrillo,George Washington University,2013,7,0,,{},0
GWU/full/JayShambaughCV-2-22.docx,0,1,2,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,Jay C. Shambaugh,Dartmouth College,2008,6,0,,{},0
GWU/full/Kaminsky-CV.docx,0,0,0,0,3,0,0,0,5,0,0,3,0,2,0,0,1,0,0,0,0,0,0,Graciela Laura Kaminsky,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""insufficient_support""}",1
"GWU/full/Robert F. Phillips, GWU.docx",0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Robert F. Phillips,George Washington University,1991,6,0,,{},0
GWU/full/Stephen Smith CV.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Stephen C. Smith,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""all_missing"", ""promotion_year"": ""all_missing"", ""years_post_phd"": ""all_missing""}",1
GWU/full/chris_sleet_cv.docx,0,0,0,0,2,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,3,0,0,Christopher Sleet,Carnegie Mellon University,2007,9,0,,{},0
GWU/full/cv_chen.docx,1,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,Maggie Xiaoyang Chen,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""insufficient_support""}",1
GWU/full/samaniegocv.docx,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Roberto Samaniego,George Washington University,2007,6,0,,{},0
GWU/full/sinclair_cv.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tara M. Sinclair,The George Washington University,2011,6,0,,{},0
Georgetown/associate/Alexpoirier_CV 2.docx,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,Alexandre Poirier,Georgetown University,2022,9,0,,{},0
Georgetown/associate/CVDanCaoMay2024.docx,0,0,2,2,0,1,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,Dan Cao,Georgetown University,2018,8,0,,{},0
Georgetown/full/AndersonCV.docx,0,0,0,0,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,Axel Z. Anderson,Georgetown University,2010,8,0,,{},0
Georgetown/full/CPCVita.docx,0,0,0,6,1,4,1,1,0,0,13,0,0,0,1,0,1,0,0,1,0,0,5,Christopher P. Chambers,California Institute of Technology,2006,3,0,,{},0
Georgetown/full/CV 23.docx,0,0,0,0,0,1,0,1,0,7,0,0,1,0,0,0,0,1,0,0,1,3,0,Francis Vella,Rutgers University,1997,7,0,,{},0
Georgetown/full/CV_GU_251020.docx,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1,0,0,0,3,1,0,Ivana Komunjer,University of California San Diego,2009,7,0,,{},0
Georgetown/full/CV_LB_April2025.docx,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,1,Laurent Bouton,Georgetown University,2017,8,0,,{},0
Georgetown/full/CvGenicot.docx,1,0,0,0,2,1,1,0,3,0,2,0,0,0,1,0,2,0,0,0,1,0,0,Garance Genicot,Georgetown University,2007,8,0,,{},0
Georgetown/full/Mayda CV.docx,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,3,0,Anna Maria Mayda,Georgetown University,2009,6,0,,{},0
Georgetown/full/Renee Bowen CV 02202025.docx,0,0,0,2,1,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,T. Renee Bowen,"University of California, San Diego",2017,9,0,,{},0
Georgetown/full/Rodney D. Ludema - Curriculum Vitae.docx,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,1,0,0,1,0,0,1,0,Rodney D. Ludema,Georgetown University,2001,11,1,JOURNAL OF INTERNATIONAL ECONOMICS,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""tie""}",1
Georgetown/full/Roger Lagunoff - CV.docx,0,0,0,2,0,2,0,4,0,0,3,1,0,0,0,3,0,0,0,0,4,0,0,Roger Lagunoff,Georgetown University,1999,10,0,,{},0
Georgetown/full/SchwartzCV-Sept2025.docx,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,Marius Schwartz,Georgetown University,1987,5,0,,{},0
Georgetown/full/VITA.docx,0,0,0,0,1,0,1,0,0,0,1,0,0,7,1,0,0,0,0,0,1,0,0,Mark Huggett,Georgetown University,1999,8,0,,{},0
Georgetown/full/VITAE.docx,0,0,1,0,2,0,3,0,0,0,0,3,0,5,0,1,0,0,1,0,0,1,0,Behzad T. Diba,Georgetown University,1988,4,0,,{},0
Georgetown/full/cv.docx,0,0,2,0,1,0,0,0,0,0,2,0,0,5,0,0,0,1,0,0,1,0,0,Toshihiko Mukoyama,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""insufficient_support""}",1
Georgetown/full/miller-vita.docx,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,Nathan H. Miller,Georgetown University,2017,9,0,,{},0
Georgetown/full/mv_04_25.docx,0,2,0,1,3,0,1,1,0,0,0,,0,0,0,1,0,0,0,0,1,0,0,Nuno Limão,University of Maryland,2008,,2,JOURNAL OF INTERNATIONAL ECONOMICS; years_post_phd,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""tie"", ""years_post_phd"": ""insufficient_support""}",1
Georgetown/full/vita-2.docx,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,Arik Levinson,Georgetown University,2000,7,0,,{},0
Georgetown/full/vitashort.docx,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Ian Gale,Georgetown University,1997,11,0,,{},0
Georgia State/associate/CV_Benjamin-Marx_2024.docx,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,University of Illinois at Urbana-Champaign,2021,7,1,name,"{""name"": ""insufficient_support""}",1
Georgia State/associate/CV_Carlianne-Patrick_2019.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carlianne E. Patrick,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""all_missing"", ""promotion_year"": ""all_missing"", ""years_post_phd"": ""all_missing""}",1
Georgia State/associate/CV_Daniel-Kreisman_2018.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Daniel Kreisman,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""all_missing"", ""promotion_year"": ""all_missing"", ""years_post_phd"": ""all_missing""}",1
Georgia State/associate/CV_Goncalo-Monteiro_2022.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goncalo Monteiro,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""insufficient_support""}",1
Georgia State/associate/CV_Jonathan-Smith_2023.docx,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0,Jonathan Smith,Georgia State University,2021,10,0,,{},0
Georgia State/associate/CV_Mark-Rider_2009.docx,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Mark Rider,Kennesaw State University,1999,7,0,,{},0
Georgia State/associate/CV_Stefano-Carattini_2023.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stefano Carattini,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""all_missing"", ""promotion_year"": ""all_missing"", ""years_post_phd"": ""all_missing""}",1
Georgia State/associate/CV_Susan-Laury_2018.docx,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Susan K. Laury,Georgia State University,2003,7,0,,{},0
Georgia State/full/CV_Alberto-Chong_2022.docx,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,4,2,0,0,0,0,1,0,Alberto E. Chong,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""insufficient_support""}",1
Georgia State/full/CV_Bruce-Kaufman_2022.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bruce E. Kaufman,Georgia State University,1984,6,0,,{},0
Georgia State/full/CV_David-Ribar_2023.docx,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,David C. Ribar,The George Washington University,1999,8,0,,{},0
Georgia State/full/CV_Elaine-Liu_2025.docx,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Elaine M. Liu,University of Houston,2014,6,0,,{},0
Georgia State/full/CV_Garth-Heutel_2024.docx,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Garth Heutel,Georgia State University,2017,10,0,,{},0
Georgia State/full/CV_James-Cox_2023.docx,0,0,0,0,5,2,2,1,0,0,2,0,0,0,0,1,0,0,2,1,1,1,0,James C. Cox,University of Massachusetts at Amherst,1977,,1,years_post_phd,"{""years_post_phd"": ""tie""}",1
Georgia State/full/CV_James-Marton_2022.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Henry Marton,Georgia State University,2007,5,0,,{},0
Georgia State/full/CV_Nguedia-Pierre-Nguimkeu_2012.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pierre E. N. Nguimkeu,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""insufficient_support"", ""promotion_year"": ""insufficient_support"", ""years_post_phd"": ""insufficient_support""}",1
Georgia State/full/CV_Rusty-Tchernis_2022.docx,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Rusty Tchernis,Georgia State University,2009,7,0,,{},0
Georgia State/full/CV_Shiferaw-Gurmu_2017.docx,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Shiferaw Gurmu,Georgia State University,1998,6,0,,{},0
Georgia State/full/CV_Thomas-Mroz_2022.docx,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,Thomas A. Mroz,University of North Carolina at Chapel Hill,1992,8,0,,{},0
Georgia State/full/CV_Vjollca-Sadiraj_2024.docx,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Vjollca Sadiraj,Georgia State University,2013,11,0,,{},0
Georgia State/full/CV_Yongsheng-Xu_2009.docx,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,Yongsheng Xu,Hitotsubashi University,1999,7,0,,{},0
Georgia Tech/associate/1d4764eb-ad63-5239-ab61-57c264086f16.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matthew E. Oliver,Georgia Institute of Technology,2019,6,0,,{},0
Georgia Tech/associate/54ad860f-1832-5a4a-b6fc-8b53ea7a22fd.docx,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Usha Nair-Reichert,Georgia Institute of Technology,2001,6,0,,{},0
Georgia Tech/associate/60e67039-0ce4-54b4-a654-427065c0fa84.docx,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Olga Shemyakina,Georgia Institute of Technology,2015,8,0,,{},0
Georgia Tech/associate/62ce3c65-ea40-565e-9253-6ce7eec523fe.docx,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Willie J. Belton Jr.,Georgia Institute of Technology,1994,7,0,,{},0
Georgia Tech/associate/Gonzalez_CV.docx,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Robert M. Gonzalez,Georgia Institute of Technology,2024,8,0,,{},0
Georgia Tech/associate/Mikhail Klimenko.docx,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Mikhail Klimenko,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""all_missing"", ""promotion_year"": ""all_missing"", ""years_post_phd"": ""all_missing""}",1
Georgia Tech/associate/bc40ff64-4e43-5327-b822-c69a074ed835.docx,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,Justin Burkett,Georgia Institute of Technology,2020,8,0,,{},0
Georgia Tech/associate/wichman_cv_2025.docx,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Casey J. Wichman,Georgia Institute of Technology,2023,8,0,,{},0
Georgia Tech/full/6e01077e-a5b3-52ea-b30c-b666d5138855.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shatakshee Dhongde,Georgia Institute of Technology,2017,12,0,,{},0
Georgia Tech/full/CV_Jason_Lindo.docx,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,Jason M. Lindo,Texas A&M University,2013,4,0,,{},0
Georgia Tech/full/besedes-cv.docx,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,Tibor Besedeš,Georgia Institute of Technology,2013,10,0,,{},0
Georgia Tech/full/cv.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Christine P. Ries,Duke University,1984,7,0,,{},0
Georgia Tech/full/fe161b52-7155-5aa6-8ec0-d30e4f9554ed.docx,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Haizheng Li,Georgia Institute of Technology,2004,7,0,,{},0
Georgia/associate/Callaway-CV-3.docx,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,Brantly Callaway,University of Georgia,2023,7,0,,{},0
Georgia/associate/James Berry CV latest.docx,1,0,0,0,1,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,James W. Berry,University of Delaware,2019,10,0,,{},0
Georgia/associate/Liebman_CV.docx,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eli Liebman,,,,3,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""all_missing"", ""promotion_year"": ""all_missing"", ""years_post_phd"": ""all_missing""}",1
Georgia/associate/RoozbehHosseini_CV.docx,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Roozbeh Hosseini,University of Georgia,2020,12,0,,{},0
Georgia/associate/Vitae_Lin_2026.docx,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Zhongjian Lin,University of Georgia,2025,11,0,,{},0
Georgia/associate/Zimmermann_cv.docx,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Laura V. Zimmermann,University of Georgia,2021,7,0,,{},0
Georgia/associate/cv2024_Pashchenko.docx,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Svetlana Pashchenko,University of Georgia,2021,10,0,,{},0
Georgia/associate/gregorio_caetano_cv.docx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,Gregorio Caetano,University of Georgia,2022,13,0,,{},0
Georgia/associate/newberry_cv.docx,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Peter William Newberry,University of Georgia,2022,10,0,,{},0
Georgia/associate/nyodercv_ac.docx,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Nathan Yoder,University of Georgia,2024,7,0,,{},0
Georgia/full/CV-Chatterjee.docx,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Santanu Chatterjee,University of Georgia,2007,6,0,,{},0
Georgia/full/JohnLTurnerCurrentCVAugust2025.docx,0,0,0,1,0,1,1,1,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,John L. Turner,University of Georgia,2008,6,0,,{},0
