file,diff_fields,deepseek_values,kimi_values,poe_values
Emory/full/CV_YUE2024.docx,JOURNAL OF INTERNATIONAL ECONOMICS; promotion_university; promotion_year,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3"", ""promotion_university"": """", ""promotion_year"": """"}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3"", ""promotion_university"": """", ""promotion_year"": """"}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""promotion_university"": ""Emory University"", ""promotion_year"": ""2022""}"
Emory/full/ResumeSept23.docx,ECONOMETRICA; JOURNAL OF ECONOMETRICS,"{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""6""}","{""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""12""}","{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""9""}"
Emory/full/Rubio-Ramirez-CV.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS; JOURNAL OF MONETARY ECONOMICS; REVIEW OF ECONOMIC STUDIES,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""REVIEW OF ECONOMIC STUDIES"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""5""}"
Emory/full/alexisakira_toda_CV.docx,ECONOMETRICA; JOURNAL OF ECONOMIC THEORY; QUANTITATIVE ECONOMICS,"{""ECONOMETRICA"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""QUANTITATIVE ECONOMICS"": ""1""}","{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""QUANTITATIVE ECONOMICS"": ""2""}","{""ECONOMETRICA"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""QUANTITATIVE ECONOMICS"": ""2""}"
Emory/full/cv.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""3""}","{""JOURNAL OF ECONOMETRICS"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""3""}"
Emory/full/engCV2.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS; name,"{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""3"", ""name"": ""David T. Jacho-Chavez""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""4"", ""name"": ""David T. Jacho-Chavez""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""3"", ""name"": ""David T. Jacho-Ch\u00e1vez""}"
Emory/full/google_vitae.docx,JOURNAL OF ECONOMIC THEORY; REVIEW OF ECONOMIC STUDIES,"{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""4""}","{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""2""}","{""JOURNAL OF ECONOMIC THEORY"": ""6"", ""REVIEW OF ECONOMIC STUDIES"": ""4""}"
Emory/full/vita.docx,JOURNAL OF ECONOMIC THEORY,"{""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}"
Emory/full/vitae_zha.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS; JOURNAL OF MONETARY ECONOMICS; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""5"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""promotion_university"": ""Emory University"", ""promotion_year"": ""2009"", ""years_post_phd"": ""17""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""6"", ""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""promotion_university"": ""Emory University"", ""promotion_year"": ""2009"", ""years_post_phd"": ""17""}"
Florida/full/CV-Chatterjee.docx,JOURNAL OF DEVELOPMENT ECONOMICS,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4""}"
Florida/full/Dinopoulos-CV-2025-3.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF INTERNATIONAL ECONOMICS,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""8""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""8""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0""}"
Florida/full/Roger_CV_March_2024.docx,AMERICAN ECONOMIC REVIEW; INTERNATIONAL ECONOMIC REVIEW; REVIEW OF ECONOMICS AND STATISTICS,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}"
Florida/full/RomanoVitaeFeb2025.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; JOURNAL OF PUBLIC ECONOMICS; RAND JOURNAL OF ECONOMICS,"{""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""9"", ""RAND JOURNAL OF ECONOMICS"": ""3""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""8"", ""RAND JOURNAL OF ECONOMICS"": ""2""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""10"", ""RAND JOURNAL OF ECONOMICS"": ""3""}"
Florida/full/Rush-CV-2024.docx,JOURNAL OF MONETARY ECONOMICS,"{""JOURNAL OF MONETARY ECONOMICS"": ""5""}","{""JOURNAL OF MONETARY ECONOMICS"": ""3""}","{""JOURNAL OF MONETARY ECONOMICS"": ""7""}"
Florida/full/SLUTSKY-CV-2021.docx,JOURNAL OF ECONOMIC THEORY; JOURNAL OF PUBLIC ECONOMICS,"{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""JOURNAL OF PUBLIC ECONOMICS"": ""4""}","{""JOURNAL OF ECONOMIC THEORY"": ""4"", ""JOURNAL OF PUBLIC ECONOMICS"": ""5""}","{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""JOURNAL OF PUBLIC ECONOMICS"": ""5""}"
Florida/full/vitjan-26-Terza.docx,JOURNAL OF ECONOMETRICS; promotion_university,"{""JOURNAL OF ECONOMETRICS"": ""1"", ""promotion_university"": ""University of Georgia""}","{""JOURNAL OF ECONOMETRICS"": ""2"", ""promotion_university"": ""University of Georgia""}","{""JOURNAL OF ECONOMETRICS"": ""3"", ""promotion_university"": ""The Pennsylvania State University""}"
GWU/full/Academic_CV_ Pelzman_September _2019 - Joseph Pelzman.docx,AMERICAN ECONOMIC REVIEW; name; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""0"", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""name"": ""Joseph Pelzman"", ""promotion_university"": ""George Washington University"", ""promotion_year"": ""1985"", ""years_post_phd"": ""6""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
GWU/full/CarrilloCurrentCV.docx,JOURNAL OF PUBLIC ECONOMICS,"{""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""2""}"
GWU/full/JayShambaughCV-2-22.docx,JOURNAL OF INTERNATIONAL ECONOMICS,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4""}"
GWU/full/Kaminsky-CV.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF INTERNATIONAL ECONOMICS; promotion_university; promotion_year,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3"", ""promotion_university"": """", ""promotion_year"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""promotion_university"": """", ""promotion_year"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""promotion_university"": ""George Washington University"", ""promotion_year"": ""1998""}"
GWU/full/chris_sleet_cv.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; REVIEW OF ECONOMIC STUDIES; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""promotion_university"": ""University of Iowa"", ""promotion_year"": ""2006"", ""years_post_phd"": ""8""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
GWU/full/sinclair_cv.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS,"{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0""}"
Georgetown/associate/CVDanCaoMay2024.docx,years_post_phd,"{""years_post_phd"": ""8""}","{""years_post_phd"": ""8""}","{""years_post_phd"": """"}"
Georgetown/full/AndersonCV.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}"
Georgetown/full/CPCVita.docx,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; AMERICAN ECONOMIC REVIEW; ECONOMETRICA; JOURNAL OF ECONOMIC THEORY; THEORETICAL ECONOMICS,"{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""4"", ""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""6"", ""THEORETICAL ECONOMICS"": ""4""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""5"", ""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""6"", ""THEORETICAL ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""6"", ""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""10"", ""THEORETICAL ECONOMICS"": ""5""}"
Georgetown/full/CV 23.docx,JOURNAL OF ECONOMETRICS; QUANTITATIVE ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,"{""JOURNAL OF ECONOMETRICS"": ""4"", ""QUANTITATIVE ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""7"", ""QUANTITATIVE ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""5"", ""QUANTITATIVE ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}"
Georgetown/full/CV_GU_251020.docx,JOURNAL OF ECONOMETRICS; REVIEW OF ECONOMIC STUDIES,"{""JOURNAL OF ECONOMETRICS"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""3""}","{""JOURNAL OF ECONOMETRICS"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""4"", ""REVIEW OF ECONOMIC STUDIES"": ""3""}"
Georgetown/full/CvGenicot.docx,JOURNAL OF ECONOMIC THEORY; years_post_phd,"{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""years_post_phd"": ""8""}","{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""years_post_phd"": ""8""}","{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""years_post_phd"": """"}"
Georgetown/full/Mayda CV.docx,JOURNAL OF INTERNATIONAL ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}"
Georgetown/full/Rodney D. Ludema - Curriculum Vitae.docx,JOURNAL OF INTERNATIONAL ECONOMICS,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""6""}"
Georgetown/full/Roger Lagunoff - CV.docx,ECONOMETRICA; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; JOURNAL OF PUBLIC ECONOMICS; REVIEW OF ECONOMIC STUDIES,"{""ECONOMETRICA"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""REVIEW OF ECONOMIC STUDIES"": ""4""}","{""ECONOMETRICA"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""2""}","{""ECONOMETRICA"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""5"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""REVIEW OF ECONOMIC STUDIES"": ""6""}"
Georgetown/full/SchwartzCV-Sept2025.docx,AMERICAN ECONOMIC REVIEW; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""4"", ""ECONOMIC JOURNAL"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0""}"
Georgetown/full/VITA.docx,JOURNAL OF MONETARY ECONOMICS; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF MONETARY ECONOMICS"": ""5"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""promotion_university"": ""Georgetown University"", ""promotion_year"": ""1999"", ""years_post_phd"": ""8""}","{""JOURNAL OF MONETARY ECONOMICS"": ""6"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Georgetown/full/VITAE.docx,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS; AMERICAN ECONOMIC REVIEW; ECONOMIC JOURNAL; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF MONETARY ECONOMICS,"{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""1"", ""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMIC JOURNAL"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""5""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""1"", ""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMIC JOURNAL"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""4""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMIC JOURNAL"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""5""}"
Georgetown/full/cv.docx,JOURNAL OF ECONOMIC THEORY; JOURNAL OF MONETARY ECONOMICS; JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,"{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""6"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1""}"
Georgetown/full/miller-vita.docx,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""3"", ""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""AMERICAN ECONOMIC REVIEW"": ""2""}"
Georgetown/full/mv_04_25.docx,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY; JOURNAL OF INTERNATIONAL ECONOMICS; name,"{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""10"", ""name"": """"}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""9"", ""name"": ""Nuno Lim\u00e3o""}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""9"", ""name"": """"}"
Georgetown/full/vita-2.docx,JOURNAL OF PUBLIC ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,"{""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""5"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4""}"
Georgetown/full/vitashort.docx,AMERICAN ECONOMIC REVIEW; INTERNATIONAL ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1""}"
Georgia State/associate/CV_Benjamin-Marx_2024.docx,name,"{""name"": """"}","{""name"": ""Benjamin M. Marx""}","{""name"": """"}"
Georgia State/associate/CV_Goncalo-Monteiro_2022.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""SUNY, University at Buffalo"", ""promotion_year"": ""2008"", ""years_post_phd"": ""4""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Georgia State/associate/CV_Jonathan-Smith_2023.docx,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY; JOURNAL OF LABOR ECONOMICS,"{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""3"", ""JOURNAL OF LABOR ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""3"", ""JOURNAL OF LABOR ECONOMICS"": ""3""}"
Georgia State/associate/CV_Stefano-Carattini_2023.docx,name,"{""name"": ""Stefano Carattini""}","{""name"": ""Stefano Carattini""}","{""name"": ""Dr. Stefano Carattini""}"
Georgia State/full/CV_Alberto-Chong_2022.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF PUBLIC ECONOMICS; JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""4"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""2"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""2"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1"", ""promotion_university"": ""University of Ottawa"", ""promotion_year"": ""2012"", ""years_post_phd"": ""19""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""2"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""2"", ""promotion_university"": ""University of Ottawa"", ""promotion_year"": ""2012"", ""years_post_phd"": """"}"
Georgia State/full/CV_David-Ribar_2023.docx,REVIEW OF ECONOMICS AND STATISTICS,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}"
Georgia State/full/CV_James-Cox_2023.docx,ECONOMETRICA; ECONOMIC JOURNAL; JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year; years_post_phd,"{""ECONOMETRICA"": ""1"", ""ECONOMIC JOURNAL"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""promotion_university"": ""University of Arizona"", ""promotion_year"": ""1977"", ""years_post_phd"": ""6""}","{""ECONOMETRICA"": ""2"", ""ECONOMIC JOURNAL"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""promotion_university"": ""University of Massachusetts at Amherst"", ""promotion_year"": ""1977"", ""years_post_phd"": ""6""}","{""ECONOMETRICA"": ""2"", ""ECONOMIC JOURNAL"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""promotion_university"": ""University of Massachusetts at Amherst"", ""promotion_year"": ""1973"", ""years_post_phd"": ""2""}"
Georgia State/full/CV_James-Marton_2022.docx,JOURNAL OF ECONOMIC THEORY; JOURNAL OF PUBLIC ECONOMICS,"{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0""}"
Georgia State/full/CV_Rusty-Tchernis_2022.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""1""}","{""JOURNAL OF ECONOMETRICS"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""2""}"
Georgia State/full/CV_Shiferaw-Gurmu_2017.docx,JOURNAL OF ECONOMIC THEORY,"{""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}"
Georgia State/full/CV_Vjollca-Sadiraj_2024.docx,JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""0"", ""promotion_university"": ""Georgia State University"", ""promotion_year"": ""2023"", ""years_post_phd"": ""21""}","{""JOURNAL OF ECONOMIC THEORY"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Georgia State/full/CV_Yongsheng-Xu_2009.docx,JOURNAL OF ECONOMIC THEORY,"{""JOURNAL OF ECONOMIC THEORY"": ""4""}","{""JOURNAL OF ECONOMIC THEORY"": ""3""}","{""JOURNAL OF ECONOMIC THEORY"": ""5""}"
Georgia Tech/associate/60e67039-0ce4-54b4-a654-427065c0fa84.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
