file,diff_fields,present_models,missing_models,claude_values,deepseek_values,gemini_values,gpt_values,kimi_values
Georgetown/full/VITAE.docx,promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_year"": ""1988"", ""years_post_phd"": ""4""}","{""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_year"": ""2002"", ""years_post_phd"": ""18""}","{""promotion_year"": ""1988"", ""years_post_phd"": ""4""}","{""promotion_year"": ""1988"", ""years_post_phd"": ""4""}"
Georgetown/full/cv.docx,JOURNAL OF MONETARY ECONOMICS; THEORETICAL ECONOMICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF MONETARY ECONOMICS"": ""5"", ""THEORETICAL ECONOMICS"": ""2"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF MONETARY ECONOMICS"": ""5"", ""THEORETICAL ECONOMICS"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF MONETARY ECONOMICS"": ""5"", ""THEORETICAL ECONOMICS"": ""0"", ""promotion_university"": ""University of Virginia"", ""promotion_year"": ""2011"", ""years_post_phd"": ""9""}","{""JOURNAL OF MONETARY ECONOMICS"": ""6"", ""THEORETICAL ECONOMICS"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF MONETARY ECONOMICS"": ""5"", ""THEORETICAL ECONOMICS"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Georgetown/full/mv_04_25.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION; name; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""11"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""name"": ""Nuno Limao"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""10"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1"", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""9"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""name"": ""Nuno Lim\u00e3o"", ""promotion_university"": ""University of Maryland"", ""promotion_year"": ""2008"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""9"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""name"": ""Nuno Lim\u00e3o"", ""promotion_university"": ""University of Maryland"", ""promotion_year"": ""2008"", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""10"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""name"": ""Nuno Lim\u00e3o"", ""promotion_university"": ""University of Maryland"", ""promotion_year"": ""2008"", ""years_post_phd"": ""7""}"
Georgetown/full/vita-2.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF PUBLIC ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF PUBLIC ECONOMICS"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF PUBLIC ECONOMICS"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""5""}"
Georgia State/associate/CV_Benjamin-Marx_2024.docx,name,claude; deepseek; gemini; gpt; kimi,,"{""name"": """"}","{""name"": """"}","{""name"": ""Benjamin Marx""}","{""name"": """"}","{""name"": """"}"
Georgia State/associate/CV_Goncalo-Monteiro_2022.docx,JOURNAL OF DEVELOPMENT ECONOMICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""promotion_university"": ""State University of New York at Buffalo"", ""promotion_year"": ""2008"", ""years_post_phd"": ""4""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Georgia State/associate/CV_Stefano-Carattini_2023.docx,REVIEW OF ECONOMICS AND STATISTICS; name,claude; deepseek; gemini; gpt; kimi,,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""name"": ""Stefano Carattini""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""name"": ""Stefano Carattini""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""name"": ""Stefano Carattini""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""name"": ""Dr. Stefano Carattini""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""name"": ""Stefano Carattini""}"
Georgia State/full/CV_Alberto-Chong_2022.docx,JOURNAL OF PUBLIC ECONOMICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""promotion_university"": ""University of Ottawa"", ""promotion_year"": ""2012"", ""years_post_phd"": ""19""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""4"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF PUBLIC ECONOMICS"": ""4"", ""promotion_university"": ""Inter-American Development Bank"", ""promotion_year"": ""2005"", ""years_post_phd"": ""12""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF PUBLIC ECONOMICS"": ""4"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Georgia State/full/CV_David-Ribar_2023.docx,AMERICAN ECONOMIC REVIEW; ECONOMIC JOURNAL,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMIC JOURNAL"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMIC JOURNAL"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMIC JOURNAL"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMIC JOURNAL"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMIC JOURNAL"": ""1""}"
Georgia State/full/CV_James-Cox_2023.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""6"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""promotion_university"": ""University of Massachusetts at Amherst"", ""promotion_year"": ""1977"", ""years_post_phd"": ""6""}","{""AMERICAN ECONOMIC REVIEW"": ""6"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""promotion_university"": ""University of Massachusetts at Amherst"", ""promotion_year"": ""1973"", ""years_post_phd"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""promotion_university"": ""University of Massachusetts at Amherst"", ""promotion_year"": ""1977"", ""years_post_phd"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""promotion_university"": ""University of Arizona"", ""promotion_year"": ""1982"", ""years_post_phd"": ""11""}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""promotion_university"": ""University of Arizona"", ""promotion_year"": ""1977"", ""years_post_phd"": ""6""}"
Georgia State/full/CV_James-Marton_2022.docx,JOURNAL OF ECONOMIC THEORY,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}"
Georgia State/full/CV_Nguedia-Pierre-Nguimkeu_2012.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""Georgia State University"", ""promotion_year"": ""2012"", ""years_post_phd"": ""0""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Georgia State/full/CV_Rusty-Tchernis_2022.docx,JOURNAL OF ECONOMETRICS; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMETRICS"": ""2"", ""years_post_phd"": ""7""}","{""JOURNAL OF ECONOMETRICS"": ""2"", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""2"", ""years_post_phd"": ""7""}","{""JOURNAL OF ECONOMETRICS"": ""1"", ""years_post_phd"": ""7""}","{""JOURNAL OF ECONOMETRICS"": ""2"", ""years_post_phd"": ""7""}"
Georgia State/full/CV_Vjollca-Sadiraj_2024.docx,JOURNAL OF ECONOMIC THEORY,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}"
Georgia State/full/CV_Yongsheng-Xu_2009.docx,JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""4"", ""promotion_university"": ""Hitotsubashi University"", ""promotion_year"": ""1999"", ""years_post_phd"": ""7""}","{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""promotion_university"": ""Hitotsubashi University"", ""promotion_year"": ""1998"", ""years_post_phd"": ""6""}","{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""promotion_university"": ""Hitotsubashi University"", ""promotion_year"": ""1998"", ""years_post_phd"": ""6""}","{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""promotion_university"": ""Georgia State University"", ""promotion_year"": ""1999"", ""years_post_phd"": ""7""}","{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""promotion_university"": ""Georgia State University"", ""promotion_year"": ""1999"", ""years_post_phd"": ""7""}"
Georgia Tech/associate/54ad860f-1832-5a4a-b6fc-8b53ea7a22fd.docx,INTERNATIONAL ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""INTERNATIONAL ECONOMIC REVIEW"": ""1""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0""}"
Georgia Tech/associate/60e67039-0ce4-54b4-a654-427065c0fa84.docx,AMERICAN ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}"
Georgia Tech/associate/Mikhail Klimenko.docx,JOURNAL OF INTERNATIONAL ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4""}"
Georgia Tech/full/CV_Jason_Lindo.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""3""}"
Georgia Tech/full/besedes-cv.docx,JOURNAL OF INTERNATIONAL ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3""}"
Georgia Tech/full/cv.docx,JOURNAL OF INTERNATIONAL ECONOMICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""promotion_university"": ""The Claremont Graduate School"", ""promotion_year"": ""1986"", ""years_post_phd"": ""9""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""promotion_university"": ""Duke University"", ""promotion_year"": ""1984"", ""years_post_phd"": ""7""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""promotion_university"": ""Duke University"", ""promotion_year"": ""1984"", ""years_post_phd"": ""7""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""promotion_university"": ""Duke University, Fuqua School of Business"", ""promotion_year"": ""1984"", ""years_post_phd"": ""7""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""promotion_university"": ""Duke University"", ""promotion_year"": ""1986"", ""years_post_phd"": ""9""}"
Georgia Tech/full/fe161b52-7155-5aa6-8ec0-d30e4f9554ed.docx,JOURNAL OF LABOR ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF LABOR ECONOMICS"": ""1""}","{""JOURNAL OF LABOR ECONOMICS"": ""0""}","{""JOURNAL OF LABOR ECONOMICS"": ""0""}","{""JOURNAL OF LABOR ECONOMICS"": ""0""}","{""JOURNAL OF LABOR ECONOMICS"": ""0""}"
Georgia/associate/James Berry CV latest.docx,AMERICAN ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
Georgia/associate/Vitae_Lin_2026.docx,JOURNAL OF ECONOMETRICS; JOURNAL OF POLITICAL ECONOMY; REVIEW OF ECONOMICS AND STATISTICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMETRICS"": ""4"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""4"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""4"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""4"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""JOURNAL OF ECONOMETRICS"": ""5"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}"
Georgia/associate/gregorio_caetano_cv.docx,JOURNAL OF LABOR ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF LABOR ECONOMICS"": ""0""}","{""JOURNAL OF LABOR ECONOMICS"": ""0""}","{""JOURNAL OF LABOR ECONOMICS"": ""0""}","{""JOURNAL OF LABOR ECONOMICS"": ""2""}","{""JOURNAL OF LABOR ECONOMICS"": ""0""}"
Georgia/associate/newberry_cv.docx,promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""University of Georgia""}","{""promotion_university"": ""University of Georgia""}","{""promotion_university"": ""University of Georgia""}","{""promotion_university"": ""University of Georgia, Terry College of Business""}","{""promotion_university"": ""University of Georgia""}"
Georgia/associate/nyodercv_ac.docx,name,claude; deepseek; gemini; gpt; kimi,,"{""name"": ""Nathan Yoder""}","{""name"": """"}","{""name"": ""Nathan Yoder""}","{""name"": ""Nathan Yoder""}","{""name"": ""Nathan Yoder""}"
Georgia/full/CV-Chatterjee.docx,JOURNAL OF DEVELOPMENT ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""5""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4""}"
Georgia/full/gervais_cv_20230622.docx,AMERICAN ECONOMIC REVIEW; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""University of Southampton"", ""promotion_year"": ""2007"", ""years_post_phd"": ""8""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""University of Southampton"", ""promotion_year"": ""2007"", ""years_post_phd"": ""8""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""promotion_university"": ""University of Southampton"", ""promotion_year"": ""2007"", ""years_post_phd"": ""8""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""University of Iowa"", ""promotion_year"": ""2011"", ""years_post_phd"": ""12""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""promotion_university"": ""University of Southampton"", ""promotion_year"": ""2007"", ""years_post_phd"": ""8""}"
Georgia/full/vita_lastrapes.docx,JOURNAL OF INTERNATIONAL ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""6"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}"
Houston/associate/cv_willafriedman.docx,AMERICAN ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
Houston/full/CV_Jan2025_Sorensen.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Binghamton University"", ""promotion_year"": ""2001"", ""years_post_phd"": ""11""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""University of Copenhagen"", ""promotion_year"": ""1994"", ""years_post_phd"": ""4""}","{""promotion_university"": ""Binghamton University"", ""promotion_year"": ""2001"", ""years_post_phd"": ""11""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Houston/full/CV_Juhn_February_2021.docx,AMERICAN ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}"
Houston/full/CV_gergely.docx,AMERICAN ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
Houston/full/Vita_2025_June_Craig.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""University of Houston"", ""promotion_year"": ""1988"", ""years_post_phd"": ""7""}","{""promotion_university"": ""University of Houston"", ""promotion_year"": ""1988"", ""years_post_phd"": """"}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Houston/full/cv_vollrath.docx,JOURNAL OF DEVELOPMENT ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}"
Houston/full/vita_papell.docx,JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF MONETARY ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS; name; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""7"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4"", ""name"": ""David H. Papell"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""7"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4"", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""7"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4"", ""name"": ""David H. Papell"", ""promotion_university"": ""University of Houston"", ""promotion_year"": ""1989"", ""years_post_phd"": ""8""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""13"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4"", ""name"": ""David H. Papell"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""7"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""5"", ""name"": ""David H. Papell"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Indiana Bloomington/associate/BulentGuler_CV.docx,AMERICAN ECONOMIC REVIEW; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF INTERNATIONAL ECONOMICS; promotion_university; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""promotion_university"": ""Indiana University"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""promotion_university"": ""Indiana University"", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""promotion_university"": ""Indiana University"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""promotion_university"": ""Indiana University Bloomington"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""promotion_university"": ""Indiana University"", ""years_post_phd"": ""7""}"
Indiana Bloomington/associate/CV_Avoyan.docx,REVIEW OF ECONOMICS AND STATISTICS,claude; deepseek; gemini; gpt; kimi,,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}"
Indiana Bloomington/associate/CV_Lashkaripour.docx,JOURNAL OF INTERNATIONAL ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4""}"
Indiana Bloomington/associate/CV_mostafa.docx,name,claude; deepseek; gemini; gpt; kimi,,"{""name"": """"}","{""name"": """"}","{""name"": """"}","{""name"": ""Mohammad Amin Shadmehr""}","{""name"": """"}"
